warno,statenum,stateabb,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,mindur,maxdur,deaths,intside,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version
392,2,USA,1073,4234,4234,17073,24234,20234,1899,2,4,1902,7,4,-999,-999,-999,-999,-999,-999,1246,1246,4500,0,0,3,74799,100,0,0,0,0,1,0,3
392,840,Philippines,,,16000,17073,24234,20234,1899,2,4,1902,7,4,-999,-999,-999,-999,-999,-999,1246,1246,4500,0,0,3,74799,100,0,0,0,0,1,0,3
393,200,UKG,200,200,200,4200,4200,4200,1899,9,-999,1905,3,5,-999,-999,-999,-999,-999,-999,1983,2012,6000,0,0,3,40774,331,0,0,1,0,0,0,3
393,520,Somalia (merged with Ethiopia),,,4000,4200,4200,4200,1899,9,-999,1905,3,5,-999,-999,-999,-999,-999,-999,1983,2012,6000,0,0,3,40774,331,0,0,1,0,0,0,3
395,200,UKG,5774,5774,5774,12424,12424,12424,1899,10,11,1902,5,31,-999,-999,-999,-999,-999,-999,963,963,22000,0,0,3,40774,331,0,0,1,0,0,0,3
395,560,South Africa,,,6650,12424,12424,12424,1899,10,11,1902,5,31,-999,-999,-999,-999,-999,-999,963,963,22000,0,0,3,40774,331,0,0,1,0,0,0,3
396,475,Nigeria,-999,-999,365,365,1000,365,1903,1,29,1903,7,27,-999,-999,-999,-999,-999,-999,180,180,1000,0,1,3,42246,416,0,0,1,0,0,0,3
397,255,GMY,887,887,887,11887,11887,11887,1904,1,12,1905,11,-999,-999,-999,-999,-999,-999,-999,660,689,2000,0,0,3,59390,642,0,0,1,0,0,0,3
397,565,Namibia,,,11000,11887,11887,11887,1904,1,12,1905,11,-999,-999,-999,-999,-999,-999,-999,660,689,2000,0,0,3,59390,642,0,0,1,0,0,0,3
399,255,GMY,130,130,130,1000,1000,1000,1905,7,-999,1906,6,-999,-999,-999,-999,-999,-999,-999,306,365,1000,0,0,3,60246,648,0,0,1,0,0,0,3
399,510,Tanzania,,,870,1000,1000,1000,1905,7,-999,1906,6,-999,-999,-999,-999,-999,-999,-999,306,365,1000,0,0,3,60246,648,0,0,1,0,0,0,3
400,200,UKG,56,56,56,2356,2356,2356,1906,3,-999,1906,7,-999,-999,-999,-999,-999,-999,-999,93,153,5000,0,0,3,43360,384,0,0,1,0,0,0,3
400,560,South Africa,,,2300,2356,2356,2356,1906,3,-999,1906,7,-999,-999,-999,-999,-999,-999,-999,93,153,5000,0,0,3,43360,384,0,0,1,0,0,0,3
401,230,SPN,-999,-999,1623,3196,3346,3246,1911,-999,-999,1912,3,30,-999,-999,-999,-999,-999,-999,91,455,0,1,0,2,20020,147,0,0,0,1,0,0,3
401,220,FRN,-999,-999,1623,3196,3346,3246,1911,-999,-999,1912,3,30,-999,-999,-999,-999,-999,-999,91,455,1000,0,0,3,39602,638,0,0,0,1,0,0,3
402,710,CHN,-999,-999,2000,2000,2000,2000,1912,3,-999,1913,4,-999,-999,-999,-999,-999,-999,-999,367,426,2000,0,0,2,452888,450,0,0,0,0,1,0,3
404,220,FRN,-999,-999,1000,2000,2000,2000,1916,-999,-999,1917,-999,-999,-999,-999,-999,-999,-999,-999,2,731,2000,0,0,3,39194,5260,0,0,0,1,0,0,3
404,230,SPN,0,0,1000,2000,2000,2000,1916,-999,-999,1917,-999,-999,-999,-999,-999,-999,-999,-999,2,731,0,1,0,2,20781,189,0,0,0,1,0,0,3
405,710,CHN,-999,-999,1000,1000,1000,1000,1918,1,7,1918,8,-999,-999,-999,-999,-999,-999,-999,207,237,1000,0,1,2,460837,1300,0,0,0,0,1,0,3
406,2,USA,83,98,98,2087,3169,2348,1918,10,17,1920,5,19,-999,-999,-999,-999,-999,-999,581,581,28,0,0,3,103208,2897,1,0,0,0,0,0,3
406,41,Haiti,,,2250,2087,3169,2348,1918,10,17,1920,5,19,-999,-999,-999,-999,-999,-999,581,581,28,0,0,3,103208,2897,1,0,0,0,0,0,3
408,200,UKG,236,236,236,1236,1236,1236,1919,5,-999,1919,8,8,-999,-999,-999,-999,-999,-999,70,100,1000,0,0,3,46608,1333,0,0,0,0,1,0,3
408,700,Afghanistan,,,1000,1236,1236,1236,1919,5,-999,1919,8,8,-999,-999,-999,-999,-999,-999,70,100,1000,0,0,3,46608,1333,0,0,0,0,1,0,3
409,652,Syria,-999,-999,5000,5000,5000,5000,1920,-999,-999,1920,-999,-999,-999,-999,-999,-999,-999,-999,1,366,5000,0,0,4,39000,1457,0,0,0,1,0,0,3
410,200,UKG,426,426,426,8876,8876,8876,1920,6,-999,1921,-999,-999,-999,-999,-999,-999,-999,-999,186,579,2000,0,0,4,46821,596,0,0,0,1,0,0,3
410,645,Iraq,,,8450,8876,8876,8876,1920,6,-999,1921,-999,-999,-999,-999,-999,-999,-999,-999,186,579,2000,0,0,4,46821,596,0,0,0,1,0,0,3
412,325,ITA,5000,5000,5000,40000,40000,40000,1920,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,4385,4444,5000,0,0,1,37718,840,0,0,0,1,0,0,3
