warno,statenum,stateabb,warname,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,duration,deaths,outcome,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version,censubsy,subsysea,majpowin,majpowea,edition
82,710,CHN,Boxer Rebellion,1500,2000,2000,2503,3003,3003,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,2000,2,0,2,425577,1000,0,0,0,0,1,0,3,1,1,1,0,1
82,364,USR,Boxer Rebellion,302,302,302,2503,3003,3003,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,302,1,1,3,135664,1142,0,0,0,0,1,0,3,1,1,1,0,1
82,740,JPN,Boxer Rebellion,622,622,622,2503,3003,3003,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,622,1,1,3,43847,184,0,0,0,0,1,0,3,1,1,1,0,1
82,200,UKG,Boxer Rebellion,34,34,34,2503,3003,3003,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,34,1,1,3,41154,487,0,0,0,0,1,0,3,1,1,1,0,1
82,2,USA,Boxer Rebellion,21,21,21,2503,3003,3003,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,21,1,1,3,76212,126,0,0,0,0,1,0,3,1,1,1,0,1
82,220,FRN,Boxer Rebellion,24,24,24,2503,3003,3003,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,24,1,1,3,38900,621,0,0,0,0,1,0,3,1,1,1,0,1
83,364,USR,Sino-Russian,242,242,242,4000,4000,4000,1900,8,17,1900,10,10,-999,-999,-999,-999,-999,-999,55,242,1,1,3,135664,1142,0,0,0,0,1,0,3,1,1,1,0,4
83,710,CHN,Sino-Russian,3758,3758,3758,4000,4000,4000,1900,8,17,1900,10,10,-999,-999,-999,-999,-999,-999,55,3758,2,0,2,425577,1000,0,0,0,0,1,0,3,1,1,1,0,4
85,364,USR,Russo-Japanese,52623,52623,52623,111199,111199,111199,1904,2,8,1905,9,15,-999,-999,-999,-999,-999,-999,586,71453,2,0,3,144775,1160,0,0,0,0,1,0,3,1,1,1,1,0
85,740,JPN,Russo-Japanese,58576,58576,58576,111199,111199,111199,1904,2,8,1905,9,15,-999,-999,-999,-999,-999,-999,586,80378,1,1,3,46135,218,0,0,0,0,1,0,3,1,1,1,1,0
88,91,HON,Third Central American,300,600,450,1000,2000,1500,1906,5,27,1906,7,20,-999,-999,-999,-999,-999,-999,55,300,2,0,1,504,1,1,0,0,0,0,0,3,0,0,0,0,0
88,92,SAL,Third Central American,300,600,450,1000,2000,1500,1906,5,27,1906,7,20,-999,-999,-999,-999,-999,-999,55,300,2,0,1,910,3,1,0,0,0,0,0,3,0,0,0,0,0
88,90,GUA,Third Central American,400,800,600,1000,2000,1500,1906,5,27,1906,7,20,-999,-999,-999,-999,-999,-999,55,400,1,1,1,1030,7,1,0,0,0,0,0,3,0,0,0,0,0
91,92,SAL,Fourth Central American,300,300,300,1000,1000,1000,1907,2,19,1907,4,23,-999,-999,-999,-999,-999,-999,64,300,2,0,1,930,3,1,0,0,0,0,0,3,0,0,0,0,0
91,93,NIC,Fourth Central American,400,400,400,1000,1000,1000,1907,2,19,1907,4,23,-999,-999,-999,-999,-999,-999,64,400,1,1,1,515,4,1,0,0,0,0,0,3,0,0,0,0,0
91,91,HON,Fourth Central American,300,300,300,1000,1000,1000,1907,2,19,1907,4,23,-999,-999,-999,-999,-999,-999,64,300,2,0,1,515,1,1,0,0,0,0,0,3,0,0,0,0,0
94,230,SPN,Spanish-Moroccan,1000,1000,1000,5000,5000,5000,1909,7,7,1910,3,23,-999,-999,-999,-999,-999,-999,260,2000,1,1,2,19744,111,0,0,0,1,0,0,3,1,0,0,0,0
94,600,MOR,Spanish-Moroccan,4000,4000,4000,5000,5000,5000,1909,7,7,1910,3,23,-999,-999,-999,-999,-999,-999,260,8000,2,0,1,4843,6,0,0,0,1,0,0,3,1,0,0,0,0
97,325,ITA,Italo-Turkish,1800,4000,2850,6000,13000,9500,1911,9,29,1912,10,18,-999,-999,-999,-999,-999,-999,386,6000,1,1,3,34670,291,0,0,0,1,0,0,3,1,1,1,0,0
97,640,TUR,Italo-Turkish,4200,9000,6650,6000,13000,9500,1911,9,29,1912,10,18,-999,-999,-999,-999,-999,-999,386,14000,2,0,2,21914,336,0,0,0,1,0,0,3,1,1,1,0,0
100,345,YUG,First Balkan,10800,12172,10800,63000,71000,63000,1912,10,17,1912,12,3,1913,2,3,1913,4,19,124,15000,1,1,2,2985,31,0,1,0,1,0,0,3,1,1,0,0,0
100,640,TUR,First Balkan,30000,33810,30000,63000,71000,63000,1912,10,17,1913,4,19,-999,-999,-999,-999,-999,-999,185,30000,2,0,2,20970,241,0,1,0,1,0,0,3,1,1,0,0,0
100,355,BUL,First Balkan,19200,21638,19200,63000,71000,63000,1912,10,17,1912,12,3,1913,2,3,1913,4,19,124,32000,1,0,2,4432,58,0,1,0,0,0,0,3,1,1,0,0,0
100,350,GRC,First Balkan,3000,3380,3000,63000,71000,63000,1912,10,17,1913,4,19,-999,-999,-999,-999,-999,-999,185,5000,1,0,2,3127,29,0,1,0,1,0,0,3,1,1,0,0,0
103,345,YUG,Second Balkan,8165,21711,8165,26700,71000,26700,1913,6,30,1913,7,30,-999,-999,-999,-999,-999,-999,31,18500,1,0,2,2988,32,0,1,0,0,0,0,3,1,1,0,0,0
103,350,GRC,Second Balkan,1103,2934,1103,26700,71000,26700,1913,6,30,1913,7,30,-999,-999,-999,-999,-999,-999,31,2500,1,0,2,3946,200,0,1,0,0,0,0,3,1,1,0,0,0
103,355,BUL,Second Balkan,7944,21124,7944,26700,71000,26700,1913,6,30,1913,7,30,-999,-999,-999,-999,-999,-999,31,18000,2,1,2,4497,592,0,1,0,0,0,0,3,1,1,0,0,0
103,360,RUM,Second Balkan,662,1760,662,26700,71000,26700,1913,7,11,1913,7,30,-999,-999,-999,-999,-999,-999,20,1500,1,0,2,7352,109,0,1,0,0,0,0,3,1,1,0,0,0
103,640,TUR,Second Balkan,8826,23471,8826,26700,71000,26700,1913,7,15,1913,7,30,-999,-999,-999,-999,-999,-999,16,20000,1,0,2,21274,241,0,1,0,0,0,0,3,1,1,0,0,0
106,350,GRC,World War I,5000,5000,5000,8752635,8752635,8752635,1917,6,29,1918,11,11,-999,-999,-999,-999,-999,-999,501,5000,1,0,2,4686,42,0,1,0,0,0,0,3,1,1,1,1,0
106,740,JPN,World War I,415,415,415,8752635,8752635,8752635,1914,8,23,1918,11,11,-999,-999,-999,-999,-999,-999,1542,300,1,0,3,52039,300,0,0,0,0,1,0,3,1,1,1,1,0
106,640,TUR,World War I,443598,443598,443598,8752635,8752635,8752635,1914,10,28,1918,11,11,-999,-999,-999,-999,-999,-999,1476,325000,2,0,2,18510,249,0,0,0,1,0,0,3,1,1,1,1,0
106,364,USR,World War I,2200000,2200000,2200000,8752635,8752635,8752635,1914,8,1,1917,12,5,-999,-999,-999,-999,-999,-999,1223,1700000,1,0,3,169843,1321,0,1,0,1,0,0,3,1,1,1,1,0
