ID,Year,WarNo,WarName,bdeadlow,bdeadhigh,bdeadbest,yrlydata,YrBeg1,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,Duration,Deaths,CenSubSy,SubSysEa,MajPowIn,MajPowEa,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
821900,1900,82,Boxer Rebellion,2503,3003,3003,1,1900,6,17,1900,8,14,-999,-999,-999,-999,-999,-999,59,3003,1,1,1,0,0,0,0,0,1,0,1,3
831900,1900,83,Sino-Russian,4000,4000,4000,1,1900,8,17,1900,10,10,-999,-999,-999,-999,-999,-999,55,4000,1,1,1,0,0,0,0,0,1,0,4,3
851904,1904,85,Russo-Japanese,27799,27799,27799,1,1904,2,8,1905,9,15,-999,-999,-999,-999,-999,-999,586,151831,1,1,1,1,0,0,0,0,1,0,0,3
851905,1905,85,Russo-Japanese,83400,83400,83400,1,1904,2,8,1905,9,15,-999,-999,-999,-999,-999,-999,586,151831,1,1,1,1,0,0,0,0,1,0,0,3
881906,1906,88,Third Central American,1000,2000,1500,1,1906,5,27,1906,7,20,-999,-999,-999,-999,-999,-999,55,1000,0,0,0,0,1,0,0,0,0,0,0,3
911907,1907,91,Fourth Central American,1000,1000,1000,1,1907,2,19,1907,4,23,-999,-999,-999,-999,-999,-999,64,1000,0,0,0,0,1,0,0,0,0,0,0,3
941909,1909,94,Spanish-Moroccan,2500,2500,2500,0,1909,7,7,1910,3,23,-999,-999,-999,-999,-999,-999,260,10000,1,0,0,0,0,0,0,1,0,0,0,3
941910,1910,94,Spanish-Moroccan,2500,2500,2500,0,1909,7,7,1910,3,23,-999,-999,-999,-999,-999,-999,260,10000,1,0,0,0,0,0,0,1,0,0,0,3
971911,1911,97,Italo-Turkish,3000,6500,4750,0,1911,9,29,1912,10,18,-999,-999,-999,-999,-999,-999,386,20000,1,1,1,0,0,0,0,1,0,0,0,3
971912,1912,97,Italo-Turkish,3000,6500,4750,0,1911,9,29,1912,10,18,-999,-999,-999,-999,-999,-999,386,20000,1,1,1,0,0,0,0,1,0,0,0,3
