new_id,old_id
201,2
204,5
207,8
208,9
216,17
219,21
229,31
238,41
241,44
244,47
245,48
246,49
248,51
254,57
256,59
257,60
263,66
273,76
279,82
285,88
286,89
214,15
215,16
218,20
226,28
228,30
232,35
235,38
239,42
250,53
252,55
255,58
268,71
272,75
274,77
276,79
278,81
281,84
293,96
294,97
301,105
302,106
304,108
305,109
306,110
320,124
323,127
324,128
328,132
334,138
346,151
349,154
350,155
355,160
356,161
361,166
368,173
371,176
403,208
405,210
409,215
420,226
427,252
431,256
435,260
9205,1-X10
9225,1-X39
9226,1-X40
9228,1-X43
9229,1-X44
9289,1-X125
9290,1-X126
9291,1-X127
9386,1-X332
9402,1-X419
9408,1-X425
9603,1-X1018
9611,1-X1050
9639,1-X1140
9643,1-X1145
9875,1-X1559
9879,1-X1581
9880,1-X1582
9970,1-X1915
10231,1-X2584
10281,1-X2728
10334,1-X2881
10347,1-X2913
10367,1-X3070
10383,1-X3100
10394,1-X3120
10534,1-X3417
10589,299
10771,1-X3965
10893,1-X4251
10921,1-X4312
10949,1-X4382
10955,1-X4394
11109,1-X4689
11254,1-X4604
11319,1-X5173
11343,104
11348,276
11515,1-X5095
11639,1-X5472
11849,11849
11893,11893
13064,13064
13146,13146
13155,13155
13159,13159
13243,13243
13324,13324
13450,13450
13486,13486
13570,13570
13692,13692
13874,13874
13916,13916
1,XXX700
2,XXX339
3,XXX615
4,XXX540
5,XXX160
6,XXX371
7,XXX900
8,XXX305
9,XXX373
10,XXX31
11,XXX692
12,XXX771
13,XXX53
14,XXX370
15,XXX211
16,XXX80
17,XXX434
18,XXX760
19,XXX145
20,XXX346
21,XXX571
22,XXX140
23,XXX835
24,XXX355
25,XXX439
26,XXX516
27,XXX811
28,XXX471
29,XXX20
30,XXX402
31,XXX482
32,XXX483
33,XXX155
34,XXX710
35,XXX100
36,XXX581
37,XXX484
38,XXX490
39,XXX94
40,XXX437
41,XXX344
42,XXX40
43,XXX352
44,XXX316
45,XXX315
46,XXX390
47,XXX522
48,XXX42
49,XXX130
50,XXX651
51,XXX92
52,XXX411
53,XXX531
54,XXX366
55,XXX530
56,XXX950
57,XXX375
58,XXX220
59,XXX481
60,XXX420
61,XXX372
62,XXX265
63,XXX260
64,XXX452
65,XXX350
66,XXX90
67,XXX438
68,XXX404
69,XXX110
70,XXX41
71,XXX91
72,XXX310
73,XXX395
74,XXX750
75,XXX850
76,XXX630
77,XXX645
78,XXX205
79,XXX666
80,XXX325
81,XXX51
