conflict_id,dyad_id,year,location_inc,side_a,side_a_2nd,side_a_id,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,bdbest,bdlow,bdhigh,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
205,406,2016,Iran,Government of Iran,,114,KDPI,164,,1,Kurdistan,30,30,137,3,"Iran, Iraq",630,,,,630,"630, 645",2,18.1
205,406,1993,Iran,Government of Iran,,114,KDPI,164,,1,Kurdistan,110,110,110,3,"Iran, Iraq",630,,,,630,"630, 645",2,18.1
205,406,1996,Iran,Government of Iran,,114,KDPI,164,,1,Kurdistan,27,27,29,3,"Iran, Iraq",630,,,,630,"630, 645",2,18.1
205,406,1990,Iran,Government of Iran,,114,KDPI,164,,1,Kurdistan,31,31,335,3,Iran,630,,,,630,630,2,18.1
209,"411, 412",1989,Philippines,Government of Philippines,,154,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,822,801,885,3,Philippines,840,,,,840,840,3,18.1
209,"411, 412",1990,Philippines,Government of Philippines,,154,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,1165,1165,1174,3,Philippines,840,,,,840,840,3,18.1
209,411,1991,Philippines,Government of Philippines,,154,CPP,169,,2,,1514,1514,1933,3,Philippines,840,,,,840,840,3,18.1
209,411,1992,Philippines,Government of Philippines,,154,CPP,169,,2,,430,430,454,3,Philippines,840,,,,840,840,3,18.1
209,411,1993,Philippines,Government of Philippines,,154,CPP,169,,2,,99,99,114,3,Philippines,840,,,,840,840,3,18.1
209,411,1994,Philippines,Government of Philippines,,154,CPP,169,,2,,69,69,73,3,Philippines,840,,,,840,840,3,18.1
209,411,1995,Philippines,Government of Philippines,,154,CPP,169,,2,,36,36,41,3,Philippines,840,,,,840,840,3,18.1
209,411,1997,Philippines,Government of Philippines,,154,CPP,169,,2,,32,32,32,3,Philippines,840,,,,840,840,3,18.1
209,411,1999,Philippines,Government of Philippines,,154,CPP,169,,2,,93,93,98,3,Philippines,840,,,,840,840,3,18.1
209,411,2000,Philippines,Government of Philippines,,154,CPP,169,,2,,140,140,140,3,Philippines,840,,,,840,840,3,18.1
209,411,2001,Philippines,Government of Philippines,,154,CPP,169,,2,,97,93,299,3,Philippines,840,,,,840,840,3,18.1
209,411,2002,Philippines,Government of Philippines,,154,CPP,169,,2,,280,280,291,3,Philippines,840,,,,840,840,3,18.1
209,411,2003,Philippines,Government of Philippines,,154,CPP,169,,2,,231,227,236,3,Philippines,840,,,,840,840,3,18.1
209,411,2004,Philippines,Government of Philippines,,154,CPP,169,,2,,270,264,344,3,Philippines,840,,,,840,840,3,18.1
209,411,2005,Philippines,Government of Philippines,,154,CPP,169,,2,,234,222,243,3,Philippines,840,,,,840,840,3,18.1
209,411,2006,Philippines,Government of Philippines,,154,CPP,169,,2,,310,310,1018,3,Philippines,840,,,,840,840,3,18.1
209,411,2007,Philippines,Government of Philippines,,154,CPP,169,,2,,132,132,1077,3,Philippines,840,,,,840,840,3,18.1
209,411,2008,Philippines,Government of Philippines,,154,CPP,169,,2,,184,184,217,3,Philippines,840,,,,840,840,3,18.1
209,411,2009,Philippines,Government of Philippines,,154,CPP,169,,2,,377,377,400,3,Philippines,840,,,,840,840,3,18.1
209,411,2010,Philippines,Government of Philippines,,154,CPP,169,,2,,258,258,352,3,Philippines,840,,,,840,840,3,18.1
209,411,2011,Philippines,Government of Philippines,,154,CPP,169,,2,,204,204,210,3,Philippines,840,,,,840,840,3,18.1
209,411,2012,Philippines,Government of Philippines,,154,CPP,169,,2,,182,181,193,3,Philippines,840,,,,840,840,3,18.1
209,411,2013,Philippines,Government of Philippines,,154,CPP,169,,2,,165,165,170,3,Philippines,840,,,,840,840,3,18.1
209,411,2014,Philippines,Government of Philippines,,154,CPP,169,,2,,190,187,199,3,Philippines,840,,,,840,840,3,18.1
209,411,2015,Philippines,Government of Philippines,,154,CPP,169,,2,,168,168,173,3,Philippines,840,,,,840,840,3,18.1
209,411,2016,Philippines,Government of Philippines,,154,CPP,169,,2,,92,92,101,3,Philippines,840,,,,840,840,3,18.1
209,411,2017,Philippines,Government of Philippines,,154,CPP,169,,2,,174,174,214,3,Philippines,840,,,,840,840,3,18.1
218,422,2016,"India, Pakistan",Government of India,,141,Government of Pakistan,142,,1,Kashmir,67,67,79,2,India,750,,770,,"750, 770",750,3,18.1
218,422,2017,"India, Pakistan",Government of India,,141,Government of Pakistan,142,,1,Kashmir,118,118,120,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,18.1
218,422,1989,"India, Pakistan",Government of India,,141,Government of Pakistan,142,,1,Kashmir,25,25,25,2,India,750,,770,,"750, 770",750,3,18.1
218,422,1990,"India, Pakistan",Government of India,,141,Government of Pakistan,142,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,18.1
218,422,1991,"India, Pakistan",Government of India,,141,Government of Pakistan,142,,1,Kashmir,94,94,184,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,18.1
218,422,1992,"India, Pakistan",Government of India,,141,Government of Pakistan,142,,1,Kashmir,25,25,33,2,India,750,,770,,"750, 770",750,3,18.1
