year,region,gdp_per_capita,population
1900,Africa,958,135290
1901,Africa,,
1902,Africa,,
1903,Africa,,
1904,Africa,,
1905,Africa,,
1906,Africa,,
1907,Africa,,
1908,Africa,,
1909,Africa,,
1910,Africa,,
1911,Africa,,
1912,Africa,,
1913,Africa,,
1914,Africa,,
1915,Africa,,
1916,Africa,,
1917,Africa,,
1918,Africa,,
1919,Africa,,
1920,Africa,,
1921,Africa,,
1922,Africa,,
1923,Africa,,
1924,Africa,,
1925,Africa,,
1926,Africa,,
1927,Africa,,
1928,Africa,,
1929,Africa,,
1930,Africa,,
1931,Africa,,
1932,Africa,,
1933,Africa,,
1934,Africa,,
1935,Africa,,
1936,Africa,,
1937,Africa,,
1938,Africa,,
1939,Africa,,
1940,Africa,,
1941,Africa,,
1942,Africa,,
1943,Africa,,
1944,Africa,,
1945,Africa,,
1946,Africa,,
1947,Africa,,
1948,Africa,,
1949,Africa,,
1950,Africa,1596,225484
1951,Africa,1606,230216
1952,Africa,1618,235153
1953,Africa,1658,240223
1954,Africa,1717,245524
1955,Africa,1748,251136
1956,Africa,1762,256937
1957,Africa,1794,262901
1958,Africa,1786,269079
1959,Africa,1840,275476
1960,Africa,1852,282124
1961,Africa,1883,288756
1962,Africa,1971,295523
1963,Africa,2053,302973
1964,Africa,2117,310637
1965,Africa,2251,318598
1966,Africa,2256,326853
1967,Africa,2225,335455
1968,Africa,2306,344264
1969,Africa,2556,353295
1970,Africa,2963,362125
1971,Africa,3023,371618
1972,Africa,3082,381258
1973,Africa,3238,391368
1974,Africa,3525,401660
1975,Africa,3523,412060
1976,Africa,3629,423283
1977,Africa,3772,435103
1978,Africa,3781,447115
1979,Africa,3852,459461
1980,Africa,3862,472265
1981,Africa,3697,486829
1982,Africa,3721,501811
1983,Africa,3656,517296
1984,Africa,3547,532230
1985,Africa,3620,547181
1986,Africa,3395,562380
1987,Africa,3245,577711
1988,Africa,3249,593436
1989,Africa,3230,609734
1990,Africa,3170,626644
1991,Africa,3068,644637
1992,Africa,3011,662241
1993,Africa,2902,679228
1994,Africa,2870,694287
1995,Africa,2869,710984
1996,Africa,2934,728292
1997,Africa,2913,745427
1998,Africa,2875,762861
1999,Africa,2858,781158
2000,Africa,2889,799830
2001,Africa,2919,818912
2002,Africa,2980,838784
2003,Africa,3045,859387
2004,Africa,3140,880440
2005,Africa,3320,901856
2006,Africa,3494,923819
2007,Africa,3790,946497
2008,Africa,4016,969711
2009,Africa,3998,993581
2010,Africa,4340,1017987
2011,Africa,4487,1042757
2012,Africa,4614,1068526
2013,Africa,4577,1095271
2014,Africa,4638,1122390
2015,Africa,4684,1149696
2016,Africa,4680,1177165
2017,Africa,,
1900,Asia,,
1901,Asia,,
1902,Asia,,
1903,Asia,,
1904,Asia,,
1905,Asia,,
1906,Asia,,
1907,Asia,,
1908,Asia,,
1909,Asia,,
1910,Asia,,
1911,Asia,,
1912,Asia,,
1913,Asia,1130,938041
1914,Asia,,
1915,Asia,,
1916,Asia,,
1917,Asia,,
1918,Asia,,
1919,Asia,,
1920,Asia,,
1921,Asia,,
1922,Asia,,
1923,Asia,,
1924,Asia,,
1925,Asia,,
1926,Asia,,
1927,Asia,,
1928,Asia,,
1929,Asia,1314,1013341
1930,Asia,,
1931,Asia,,
1932,Asia,,
1933,Asia,,
1934,Asia,,
1935,Asia,,
1936,Asia,,
1937,Asia,,
1938,Asia,1342,1114034
1939,Asia,,
1940,Asia,,
1941,Asia,,
1942,Asia,,
1943,Asia,,
1944,Asia,,
1945,Asia,,
1946,Asia,,
1947,Asia,,
1948,Asia,,
1949,Asia,,
1950,Asia,1147,1322311
1951,Asia,1231,1345838
1952,Asia,1276,1371484
1953,Asia,1353,1398430
1954,Asia,1324,1427458
1955,Asia,1366,1456553
1956,Asia,1409,1486315
1957,Asia,1407,1519418
1958,Asia,1412,1553949
1959,Asia,1394,1585060
1960,Asia,1419,1604628
1961,Asia,1411,1618796
1962,Asia,1465,1645725
1963,Asia,1520,1684378
1964,Asia,1607,1722517
1965,Asia,1649,1762365
1966,Asia,1673,1804867
1967,Asia,1731,1847520
1968,Asia,1774,1892387
1969,Asia,1888,1937912
1970,Asia,2010,1985864
1971,Asia,2077,2035506
1972,Asia,2128,2083578
1973,Asia,2249,2131034
1974,Asia,2243,2177398
1975,Asia,2322,2221388
1976,Asia,2363,2262653
1977,Asia,2434,2304250
1978,Asia,2565,2345928
1979,Asia,2623,2390341
1980,Asia,2703,2433420
1981,Asia,2681,2474069
1982,Asia,2708,2511353
1983,Asia,2723,2564861
1984,Asia,2810,2610003
1985,Asia,2881,2656053
1986,Asia,3013,2703440
1987,Asia,3155,2753535
1988,Asia,3310,2804290
1989,Asia,3409,2855057
1990,Asia,3521,2904892
1991,Asia,3677,2951728
1992,Asia,3841,2998530
1993,Asia,4044,3046179
1994,Asia,4201,3093948
1995,Asia,4416,3140894
1996,Asia,4586,3187784
1997,Asia,4624,3233901
1998,Asia,4511,3278673
1999,Asia,4626,3322318
2000,Asia,4860,3365317
2001,Asia,4985,3407296
2002,Asia,5213,3448551
2003,Asia,5424,3488757
2004,Asia,5751,3527890
2005,Asia,6233,3566220
2006,Asia,6617,3603929
2007,Asia,7015,3640594
2008,Asia,7257,3676768
2009,Asia,7510,3712914
2010,Asia,8283,3748726
2011,Asia,8829,3784478
2012,Asia,9105,3819948
2013,Asia,9354,3855229
2014,Asia,9710,3890745
2015,Asia,9998,3925612
2016,Asia,10287,3961483
2017,Asia,,
1900,Middle East,1432,35909
1901,Middle East,,
1902,Middle East,,
1903,Middle East,,
1904,Middle East,,
1905,Middle East,,
1906,Middle East,,
1907,Middle East,,
1908,Middle East,,
1909,Middle East,,
1910,Middle East,,
1911,Middle East,,
1912,Middle East,,
1913,Middle East,,
1914,Middle East,,
1915,Middle East,,
1916,Middle East,,
1917,Middle East,,
1918,Middle East,,
1919,Middle East,,
1920,Middle East,,
1921,Middle East,,
1922,Middle East,,
1923,Middle East,,
1924,Middle East,,
1925,Middle East,,
1926,Middle East,,
1927,Middle East,,
1928,Middle East,,
1929,Middle East,,
1930,Middle East,,
1931,Middle East,,
1932,Middle East,,
1933,Middle East,,
1934,Middle East,,
1935,Middle East,,
1936,Middle East,,
1937,Middle East,,
1938,Middle East,,
1939,Middle East,,
1940,Middle East,,
1941,Middle East,,
1942,Middle East,,
1943,Middle East,,
1944,Middle East,,
1945,Middle East,,
1946,Middle East,,
1947,Middle East,,
1948,Middle East,,
1949,Middle East,,
1950,Middle East,2386,59848
1951,Middle East,2520,61519
1952,Middle East,2662,63169
1953,Middle East,2897,64783
1954,Middle East,3016,66471
1955,Middle East,3023,68258
1956,Middle East,3144,70168
1957,Middle East,3271,72211
1958,Middle East,3375,74340
1959,Middle East,3491,76540
1960,Middle East,3635,78796
1961,Middle East,3816,81051
1962,Middle East,3963,83357
1963,Middle East,4140,85674
1964,Middle East,4331,88055
1965,Middle East,4563,90503
1966,Middle East,4906,92978
1967,Middle East,5069,95476
1968,Middle East,5546,97973
1969,Middle East,5856,100660
1970,Middle East,6179,103423
1971,Middle East,6646,106301
1972,Middle East,7370,109342
1973,Middle East,7608,112575
1974,Middle East,10115,115890
1975,Middle East,10407,119389
1976,Middle East,10877,123011
1977,Middle East,10429,126849
1978,Middle East,10015,130910
1979,Middle East,10391,135242
1980,Middle East,10296,139900
1981,Middle East,10062,144938
1982,Middle East,9625,150058
1983,Middle East,9142,155279
1984,Middle East,9050,160612
1985,Middle East,9495,166058
1986,Middle East,8393,171475
1987,Middle East,8667,176349
1988,Middle East,8141,181271
1989,Middle East,7923,186327
1990,Middle East,8282,192054
1991,Middle East,7666,197036
1992,Middle East,8553,201752
1993,Middle East,9502,206354
1994,Middle East,9126,210987
1995,Middle East,9335,215758
1996,Middle East,9882,220688
1997,Middle East,9957,225738
1998,Middle East,9719,230801
1999,Middle East,9939,235847
2000,Middle East,11246,240705
2001,Middle East,11154,245482
2002,Middle East,11700,250140
2003,Middle East,11989,254853
2004,Middle East,13446,259840
2005,Middle East,15144,265241
2006,Middle East,16480,271118
2007,Middle East,17557,277395
2008,Middle East,19010,283845
2009,Middle East,17742,290246
2010,Middle East,19020,296424
2011,Middle East,21298,302194
2012,Middle East,21359,307583
2013,Middle East,21498,313218
2014,Middle East,21071,319086
2015,Middle East,21226,324627
2016,Middle East,20891,329849
2017,Middle East,,
1900,Europe,2132,195493
1901,Europe,,
1902,Europe,,
1903,Europe,,
1904,Europe,,
1905,Europe,,
1906,Europe,,
1907,Europe,,
1908,Europe,,
1909,Europe,,
1910,Europe,,
1911,Europe,,
1912,Europe,,
1913,Europe,2502,235722
1914,Europe,,
1915,Europe,,
1916,Europe,,
1917,Europe,,
1918,Europe,,
1919,Europe,,
1920,Europe,,
1921,Europe,,
1922,Europe,,
1923,Europe,,
1924,Europe,,
1925,Europe,,
1926,Europe,,
1927,Europe,,
1928,Europe,,
1929,Europe,2628,257413
1930,Europe,,
1931,Europe,,
1932,Europe,,
1933,Europe,,
1934,Europe,,
1935,Europe,,
1936,Europe,,
1937,Europe,,
1938,Europe,,
1939,Europe,,
1940,Europe,,
1941,Europe,,
1942,Europe,,
1943,Europe,,
1944,Europe,,
1945,Europe,,
1946,Europe,,
1947,Europe,,
1948,Europe,,
1949,Europe,,
1950,Europe,4716,267209
1951,Europe,4725,271389
1952,Europe,4904,275670
1953,Europe,5041,280042
1954,Europe,5195,284511
1955,Europe,5555,289332
1956,Europe,5964,294088
1957,Europe,6125,298652
1958,Europe,6525,303351
1959,Europe,6502,308145
1960,Europe,7050,313034
1961,Europe,7414,317910
1962,Europe,7576,322400
1963,Europe,7465,326642
1964,Europe,8318,330605
1965,Europe,8761,334225
1966,Europe,9207,337633
1967,Europe,9616,340884
1968,Europe,10154,344287
1969,Europe,10325,347370
1970,Europe,11061,350400
1971,Europe,11409,353641
1972,Europe,11570,356933
1973,Europe,12492,360130
1974,Europe,12886,363489
1975,Europe,13000,366891
1976,Europe,13545,370241
1977,Europe,13868,373564
1978,Europe,14235,376723
1979,Europe,14216,379809
1980,Europe,14249,382730
1981,Europe,14363,385606
1982,Europe,14725,388589
1983,Europe,15177,391537
1984,Europe,15418,394690
1985,Europe,15593,397780
1986,Europe,16220,400825
1987,Europe,16438,403751
1988,Europe,16794,406291
1989,Europe,17069,408061
1990,Europe,16606,410451
1991,Europe,15361,412044
1992,Europe,13993,412747
1993,Europe,11978,412633
1994,Europe,10305,412415
1995,Europe,10118,412160
1996,Europe,8800,411789
1997,Europe,8470,411342
1998,Europe,7890,410890
1999,Europe,7982,410159
2000,Europe,8771,409283
2001,Europe,9166,408456
2002,Europe,9543,407584
2003,Europe,10196,406693
2004,Europe,10979,405914
2005,Europe,12146,405241
2006,Europe,13533,404601
2007,Europe,15397,404008
2008,Europe,16521,403474
2009,Europe,15125,406738
2010,Europe,16267,407187
2011,Europe,17939,407617
2012,Europe,18684,408122
2013,Europe,19073,408609
2014,Europe,19129,408749
2015,Europe,19187,408796
2016,Europe,19355,409088
2017,Europe,,
1900,Americas,1365,62662
1901,Americas,1417,63830
1902,Americas,1375,64992
1903,Americas,1455,66170
1904,Americas,1508,67376
1905,Americas,1586,68579
1906,Americas,1627,69795
1907,Americas,1653,71058
1908,Americas,1699,72337
1909,Americas,1740,73657
1910,Americas,1792,74846
1911,Americas,1794,76065
1912,Americas,1853,77308
1913,Americas,1822,78579
1914,Americas,1679,79881
1915,Americas,1663,81124
1916,Americas,1694,82349
1917,Americas,1672,83591
1918,Americas,1772,84851
1919,Americas,1817,86150
1920,Americas,1901,87509
1921,Americas,1887,88875
1922,Americas,1969,90602
1923,Americas,2095,92407
1924,Americas,2144,94258
1925,Americas,2139,96101
1926,Americas,2196,97981
1927,Americas,2246,99847
1928,Americas,2373,101795
1929,Americas,2381,103719
1930,Americas,2228,105641
1931,Americas,2068,107604
1932,Americas,1932,109541
1933,Americas,2038,111515
1934,Americas,2166,113471
1935,Americas,2254,115502
1936,Americas,2313,117482
1937,Americas,2392,119592
1938,Americas,2410,121729
1939,Americas,2447,124063
1940,Americas,2440,126411
1941,Americas,2509,129165
1942,Americas,2460,132032
1943,Americas,2485,134874
1944,Americas,2629,137811
1945,Americas,2615,141206
1946,Americas,2785,144420
1947,Americas,2857,147773
1948,Americas,2986,151289
1949,Americas,3003,154968
1950,Americas,3048,164218
1951,Americas,3073,168656
1952,Americas,3069,173183
1953,Americas,3114,177833
1954,Americas,3243,182694
1955,Americas,3338,187760
1956,Americas,3360,192982
1957,Americas,3477,198394
1958,Americas,3583,204024
1959,Americas,3512,209859
1960,Americas,3621,215895
1961,Americas,3762,221989
1962,Americas,3860,228251
1963,Americas,3887,234713
1964,Americas,4083,241373
1965,Americas,4189,248116
1966,Americas,4334,254927
1967,Americas,4475,261817
1968,Americas,4653,268824
1969,Americas,4846,275981
1970,Americas,5126,283246
1971,Americas,5369,290576
1972,Americas,5636,297999
1973,Americas,6014,305447
1974,Americas,6419,312539
1975,Americas,6490,320085
1976,Americas,6648,327655
1977,Americas,6766,335306
1978,Americas,6876,342966
