country,year,experts,party_id,party,vote,seat,electionyear,family,govt,position,eu_salience,eu_dissent,eu_asylum,eu_budgets,lrgen,lrecon,lrecon_clear,lrecon_salience,galtan,galtan_clear,galtan_salience,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,ethnic_minorities,galtan_new,galtan_new_clear,galtan_new_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,party_name,eu_position,eu_budget,immigrate_salience,multiculture,multiculture_salience,multiculture_dissent
ger,2017,16,301,CDU,26.799999,28.200001,2017,4. Christian-democratic,1,6.0625,5.9375,4,5.875,4.0625,5.5625,6.0625,6.0666666,6.4000001,5.8000002,5.5999999,6,5.625,6.5999999,7.3333335,6.6666665,6.5333333,5.6428571,5.6666665,5.8666668,4.7333331,5.8666668,2.25,1.5625,1.2307693,8.0625,,,,,,,
ger,2017,16,302,SPD,20.5,21.6,2017,5. socialist,1,6.5625,7.125,3,6.3125,5.3125,3.875,3.4375,6.7333331,7.2666669,3.6666667,6,6.0714288,3.8125,6.5333333,5.1333332,4.1999998,6.4000001,4.2142859,3.8,4.0714288,5.8000002,5.1333332,3.6875,2.3125,2,5.75,,,,,,,
ger,2017,16,303,FDP,10.7,11.3,2017,3. liberal,0,4.5625,5.625,3.375,4.375,3,6.5625,8.25,9.0666666,8.333333,3.8,6.6666665,6.2142859,6.4375,6.8666668,3.3571429,5.7142859,6.8666668,3.3571429,4.8666668,4.7333331,5.8000002,5.6666665,3.75,3.6875,2.2307692,8.1875,,,,,,,
ger,2017,16,304,Grunen,8.8999996,9.3999996,2017,7. green,0,6.7333331,6.3125,2.375,6.5625,5.875,2.9375,3.25,6.2666669,4.8000002,1.4,8.7333336,8.5,2.25,7.6666665,2.5,1.5333333,7.8666668,2.2142856,2.3333333,1.5333333,8.8000002,8.9333334,6.5625,2.625,2.6923077,4.3125,,,,,,,
ger,2017,16,306,Linke,9.1999998,9.6999998,2017,6. radical left,0,4.1875,4.6875,4.875,5.5,4.6666665,1.4375,1.0625,8.5333338,8.0714283,4.1333332,6.4666667,5.2857141,3.1875,5.5999999,6.7692308,3.5,6.7142859,4.5714288,3.6666667,3.1333334,5.4666667,5.3333335,6.1999998,6.3125,3.3846154,5.875,,,,,,,
ger,2017,16,308,CSU,6.1999998,6.5,2017,4. Christian-democratic,1,4.5625,5.625,3.25,4.25,3,7.375,6.125,6.9333334,5.9333334,7.4666667,7.8666668,7.9285712,7.8125,8.8000002,2.7333333,8.6000004,8.7333336,2.2142856,6.9333334,7.3333335,8.7857141,8.0666666,3.4375,3.625,.83333331,7.875,,,,,,,
ger,2017,16,310,AfD,12.6,13.3,2017,1. radical TAN,0,1.8125,7.125,2,1.5,1.3125,9.1875,7.5333333,3.5333333,3.3333333,9.4666662,8.8666668,9.2857141,9.3125,9.9333334,.73333335,9.8666668,9.0666666,1.0714285,8.6000004,8.8000002,9.3999996,9.7333336,7.625,9.6875,5,6.25,,,,,,,
ger,2017,16,350,LKR,,,2017,2. conservative,0,2.8,8.75,1,2.5,1.25,7.75,9,8.666667,8.3846149,9,6.6666665,7.6666665,8.5,8,0,9.333333,8.333333,3,8,8.5,8,7.5,5.5,8,4.5,9,,,,,,,
ger,2017,16,351,BLAU,,,2017,1. radical TAN,0,2.1428571,7.9166665,1.6,1.4285715,1.1666666,8.4444447,8.333333,3.6666667,7.1666665,9,7.5999999,9,9.625,9.8000002,.60000002,9.833333,8,.60000002,9.3999996,8.7142859,9.6000004,9.6000004,6.5,8.833333,2.5,9,,,,,,,
gr,2017,13,401,PASOK,5.9000001,5.3000002,2015,5. socialist,0,6.6153846,7.6923075,1.1666666,6.3076925,5.5833335,4.9230771,5.7692308,5.7692308,7.7692308,3.6153846,6.0769229,5,4.6923075,5.3076925,3.3846154,3.7,5.2307692,3.2,2.8333333,3.5,5.6153846,5.75,3.090909,1.6153846,5.6923075,6.1538463,,,,,,,
gr,2017,13,402,ND,28.1,25,2015,2. conservative,0,6.7692308,8.2307692,2.0769231,5.4615383,6,7.3333335,8.5384617,7.6923075,8.8461542,7.0769229,5.6923075,5.6923075,7.7692308,5.9230771,4.5,7.5,5.9230771,5.0833335,6.4615383,7.2307692,6.5384617,6.5833335,1.8333334,2.2307692,6,7.6923075,,,,,,,
gr,2017,13,403,SYRIZA,35.5,48.299999,2015,6. radical left,1,5.1538463,6.4615383,5.6923075,5.9230771,2.8333333,2.6153846,2.3846154,4.2307692,7.8461537,1.6153846,8.5384617,8.4615383,1.8461539,7.3076925,3.8461537,1.6923077,7.7692308,4,1.2307693,1.6923077,7.9230771,8.583333,6.9166665,7.8461537,7.8461537,6.2307692,,,,,,,
gr,2017,13,404,KKE,5.5999999,5,2015,6. radical left,0,1.0769231,4.7692308,.46153846,2.5555556,1.0769231,.61538464,.23076923,9.3076925,8.6153851,7,7.1538463,3.3846154,1.8888888,3.3636363,.91666669,4.3000002,4.2307692,1.1666666,2.25,6,7.4166665,3.0833333,6.5833335,8.3846149,5.9230771,8.8461542,,,,,,,
gr,2017,13,412,ANEL,3.7,3.3,2015,1. radical TAN,1,4,5.0769229,3.2307692,4.5,2.5454545,8.0769234,5.8461537,2.3333333,5.6923075,8.9230766,8.1538458,6.3846154,7.8461537,6.5384617,2.6923077,8.333333,5.9230771,2.75,8.3076925,8.3076925,7.8461537,8.25,7.2727275,8.0769234,7.1666665,8.3076925,,,,,,,
