,TM_league_country,TM_league_name,TM_league_id,season,TM_team_name,TM_team_id,TM_team_season_link
0,Germany,1-bundesliga,L1,2004,hamburger-sv,41,/hamburger-sv/startseite/verein/41/saison_id/2004
1,Germany,1-bundesliga,L1,2004,1-fc-nurnberg,4,/1-fc-nurnberg/startseite/verein/4/saison_id/2004
2,Germany,1-bundesliga,L1,2004,vfl-wolfsburg,82,/vfl-wolfsburg/startseite/verein/82/saison_id/2004
3,Germany,1-bundesliga,L1,2004,vfl-bochum,80,/vfl-bochum/startseite/verein/80/saison_id/2004
4,Germany,1-bundesliga,L1,2004,borussia-dortmund,16,/borussia-dortmund/startseite/verein/16/saison_id/2004
5,Germany,1-bundesliga,L1,2004,fc-bayern-munchen,27,/fc-bayern-munchen/startseite/verein/27/saison_id/2004
6,Germany,1-bundesliga,L1,2004,sc-freiburg,60,/sc-freiburg/startseite/verein/60/saison_id/2004
7,Germany,1-bundesliga,L1,2004,hannover-96,42,/hannover-96/startseite/verein/42/saison_id/2004
8,Germany,1-bundesliga,L1,2004,bayer-04-leverkusen,15,/bayer-04-leverkusen/startseite/verein/15/saison_id/2004
9,Germany,1-bundesliga,L1,2004,vfb-stuttgart,79,/vfb-stuttgart/startseite/verein/79/saison_id/2004
10,Germany,1-bundesliga,L1,2004,1-fsv-mainz-05,39,/1-fsv-mainz-05/startseite/verein/39/saison_id/2004
11,Germany,1-bundesliga,L1,2004,arminia-bielefeld,10,/arminia-bielefeld/startseite/verein/10/saison_id/2004
12,Germany,1-bundesliga,L1,2004,hertha-bsc,44,/hertha-bsc/startseite/verein/44/saison_id/2004
13,Germany,1-bundesliga,L1,2004,fc-hansa-rostock,30,/fc-hansa-rostock/startseite/verein/30/saison_id/2004
14,Germany,1-bundesliga,L1,2004,borussia-monchengladbach,18,/borussia-monchengladbach/startseite/verein/18/saison_id/2004
15,Germany,1-bundesliga,L1,2004,sv-werder-bremen,86,/sv-werder-bremen/startseite/verein/86/saison_id/2004
16,Germany,1-bundesliga,L1,2004,1-fc-kaiserslautern,2,/1-fc-kaiserslautern/startseite/verein/2/saison_id/2004
17,Germany,1-bundesliga,L1,2004,fc-schalke-04,33,/fc-schalke-04/startseite/verein/33/saison_id/2004
0,Germany,1-bundesliga,L1,2005,vfb-stuttgart,79,/vfb-stuttgart/startseite/verein/79/saison_id/2005
1,Germany,1-bundesliga,L1,2005,borussia-dortmund,16,/borussia-dortmund/startseite/verein/16/saison_id/2005
2,Germany,1-bundesliga,L1,2005,eintracht-frankfurt,24,/eintracht-frankfurt/startseite/verein/24/saison_id/2005
3,Germany,1-bundesliga,L1,2005,msv-duisburg,52,/msv-duisburg/startseite/verein/52/saison_id/2005
4,Germany,1-bundesliga,L1,2005,fc-bayern-munchen,27,/fc-bayern-munchen/startseite/verein/27/saison_id/2005
5,Germany,1-bundesliga,L1,2005,sv-werder-bremen,86,/sv-werder-bremen/startseite/verein/86/saison_id/2005
6,Germany,1-bundesliga,L1,2005,fc-schalke-04,33,/fc-schalke-04/startseite/verein/33/saison_id/2005
7,Germany,1-bundesliga,L1,2005,vfl-wolfsburg,82,/vfl-wolfsburg/startseite/verein/82/saison_id/2005
8,Germany,1-bundesliga,L1,2005,borussia-monchengladbach,18,/borussia-monchengladbach/startseite/verein/18/saison_id/2005
9,Germany,1-bundesliga,L1,2005,1-fc-kaiserslautern,2,/1-fc-kaiserslautern/startseite/verein/2/saison_id/2005
10,Germany,1-bundesliga,L1,2005,1-fc-nurnberg,4,/1-fc-nurnberg/startseite/verein/4/saison_id/2005
11,Germany,1-bundesliga,L1,2005,arminia-bielefeld,10,/arminia-bielefeld/startseite/verein/10/saison_id/2005
12,Germany,1-bundesliga,L1,2005,hamburger-sv,41,/hamburger-sv/startseite/verein/41/saison_id/2005
13,Germany,1-bundesliga,L1,2005,hannover-96,42,/hannover-96/startseite/verein/42/saison_id/2005
14,Germany,1-bundesliga,L1,2005,bayer-04-leverkusen,15,/bayer-04-leverkusen/startseite/verein/15/saison_id/2005
15,Germany,1-bundesliga,L1,2005,1-fc-koln,3,/1-fc-koln/startseite/verein/3/saison_id/2005
16,Germany,1-bundesliga,L1,2005,hertha-bsc,44,/hertha-bsc/startseite/verein/44/saison_id/2005
17,Germany,1-bundesliga,L1,2005,1-fsv-mainz-05,39,/1-fsv-mainz-05/startseite/verein/39/saison_id/2005
0,Germany,1-bundesliga,L1,2006,fc-schalke-04,33,/fc-schalke-04/startseite/verein/33/saison_id/2006
1,Germany,1-bundesliga,L1,2006,bayer-04-leverkusen,15,/bayer-04-leverkusen/startseite/verein/15/saison_id/2006
2,Germany,1-bundesliga,L1,2006,vfl-bochum,80,/vfl-bochum/startseite/verein/80/saison_id/2006
3,Germany,1-bundesliga,L1,2006,hertha-bsc,44,/hertha-bsc/startseite/verein/44/saison_id/2006
