,manager,predicted_points_per_season_added,previous_club_names,previous_club_ids,previous_club_countries,current_club_name,current_club_id,currently_employed
0,Lucien Favre,3.7621382332703597,"['Hertha', 'Borussia Mönchengladbach', 'Nice', 'Borussia Dortmund']","[44, 18, 417, 16]","['Germany', 'Germany', 'France', 'Germany']",Borussia Dortmund,16.0,1
1,Rudi Garcia,3.3995431878909397,"['Le Mans', 'Lille', 'Roma', 'Marseille']","[1164, 1082, 12, 244]","['France', 'France', 'Italy', 'France']",Marseille,244.0,1
2,Diego Simeone,3.2675924295798797,"['Catania', 'Atlético Madrid']","[1627, 13]","['Italy', 'Spain']",Atlético Madrid,13.0,1
3,Maurizio Sarri,3.0427550536579706,"['Empoli', 'Napoli', 'Chelsea']","[749, 6195, 631]","['Italy', 'Italy', 'England']",Chelsea,631.0,1
4,Marcelino,2.85306459430475,"['Recreativo', 'Racing Santander', 'Zaragoza', 'Racing Santander', 'Sevilla', 'Villarreal', 'Valencia']","[2867, 630, 142, 630, 368, 1050, 1049]","['Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain']",Valencia,1049.0,1
5,Jürgen Klopp,2.8468134061121404,"['Mainz', 'Borussia Dortmund', 'Liverpool']","[39, 16, 31]","['Germany', 'Germany', 'England']",Liverpool,31.0,1
6,Thomas Tuchel,2.7864092070672797,"['Mainz', 'Borussia Dortmund', 'Paris Saint-Germain']","[39, 16, 583]","['Germany', 'Germany', 'France']",Paris Saint-Germain,583.0,1
7,Ralph Hasenhüttl,2.68633608172177,"['Ingolstadt', 'RB Leipzig', 'Southampton']","[4795, 23826, 180]","['Germany', 'Germany', 'England']",Southampton,180.0,1
8,Luciano Spalletti,2.62467881148286,"['Udinese', 'Roma', 'Roma', 'Inter Milan']","[410, 12, 12, 46]","['Italy', 'Italy', 'Italy', 'Italy']",Inter Milan,46.0,1
9,René Girard,2.55408263702906,"['Montpellier', 'Lille', 'Nantes']","[969, 1082, 995]","['France', 'France', 'France']",,,0
10,Gian Piero Gasperini,2.5015296301210097,"['Genoa', 'Inter Milan', 'Palermo', 'Palermo', 'Genoa', 'Atalanta']","[252, 46, 458, 458, 252, 800]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy']",Atalanta,800.0,1
11,Mauricio Pochettino,2.3242387505380897,"['Espanyol', 'Southampton', 'Tottenham']","[714, 180, 148]","['Spain', 'England', 'England']",Tottenham,148.0,1
12,Antonio Conte,2.3236126894735,"['Atalanta', 'Juventus', 'Juventus', 'Chelsea']","[800, 506, 506, 631]","['Italy', 'Italy', 'Italy', 'England']",,,0
13,Ralf Rangnick,2.0411638475614597,"['Schalke', 'Hoffenheim', 'Schalke', 'RB Leipzig']","[33, 533, 33, 23826]","['Germany', 'Germany', 'Germany', 'Germany']",RB Leipzig,23826.0,1
14,Sir Alex Ferguson,2.0242687004297,['Manchester United'],[985],['England'],,,0
15,Julian Nagelsmann,1.9282607471616102,['Hoffenheim'],[533],['Germany'],Hoffenheim,533.0,1
16,Christophe Galtier,1.86957054657451,"['Saint-Étienne', 'Lille']","[618, 1082]","['France', 'France']",Lille,1082.0,1
17,Pep Guardiola,1.84813097514205,"['Barcelona', 'Bayern Munich', 'Manchester City']","[131, 27, 281]","['Spain', 'Germany', 'England']",Manchester City,281.0,1
18,Francesco Guidolin,1.60986059022926,"['Palermo', 'Monaco', 'Palermo', 'Palermo', 'Palermo', 'Parma', 'Udinese', 'Swansea']","[458, 162, 458, 458, 458, 130, 410, 2288]","['Italy', 'France', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'England']",,,0
19,Bruno Génésio,1.5840880605873502,['Lyon'],[1041],['France'],Lyon,1041.0,1
20,Manuel Pellegrini,1.58146942406462,"['Villarreal', 'Real Madrid', 'Málaga', 'Manchester City', 'West Ham']","[1050, 418, 1084, 281, 379]","['Spain', 'Spain', 'Spain', 'England', 'England']",West Ham,379.0,1
21,Nuno Espírito Santo,1.5457859625259298,"['Valencia', 'Wolves']","[1049, 543]","['Spain', 'England']",Wolves,543.0,1
22,Sam Allardyce,1.52432485010146,"['Bolton', 'Newcastle', 'Blackburn', 'West Ham', 'Sunderland', 'Crystal Palace', 'Everton']","[355, 762, 164, 379, 289, 873, 29]","['England', 'England', 'England', 'England', 'England', 'England', 'England']",,,0
23,Simone Inzaghi,1.47466946910833,['Lazio'],[398],['Italy'],Lazio,398.0,1
24,Leonardo Jardim,1.46644538191874,['Monaco'],[162],['France'],,,0
25,Unai Emery,1.4531478170181298,"['Almería', 'Valencia', 'Sevilla', 'Paris Saint-Germain', 'Arsenal']","[3302, 1049, 368, 583, 11]","['Spain', 'Spain', 'Spain', 'France', 'England']",Arsenal,11.0,1
26,Martin O'Neill,1.41941476672126,"['Aston Villa', 'Sunderland']","[405, 289]","['England', 'England']",,,0
27,Eddie Howe,1.4118387811768898,['Bournemouth'],[989],['England'],Bournemouth,989.0,1
28,Pablo Machín,1.3980107323762598,"['Girona', 'Sevilla']","[12321, 368]","['Spain', 'Spain']",Sevilla,368.0,1
29,Pepe Bordalás,1.37781684293084,['Getafe'],[3709],['Spain'],Getafe,3709.0,1
30,Cesare Prandelli,1.27773417271743,"['Fiorentina', 'Valencia', 'Genoa']","[430, 1049, 252]","['Italy', 'Spain', 'Italy']",Genoa,252.0,1
31,Tony Pulis,1.26758031807808,"['Stoke', 'Crystal Palace', 'West Bromwich Albion']","[512, 873, 984]","['England', 'England', 'England']",,,0
32,Sascha Lewandowski,1.2507499070418602,['Bayer Leverkusen'],[15],['Germany'],,,0
33,Antonio Tapia,1.2064691111123,"['Málaga', 'Málaga']","[1084, 1084]","['Spain', 'Spain']",,,0
34,Paco López,1.16673505890742,['Levante'],[3368],['Spain'],Levante,3368.0,1
35,Claude Puel,1.16596401309208,"['Lille', 'Lyon', 'Nice', 'Southampton', 'Leicester']","[1082, 1041, 417, 180, 1003]","['France', 'France', 'France', 'England', 'England']",Leicester,1003.0,1
36,Gregorio Manzano,1.13821596151051,"['Málaga', 'Mallorca', 'Sevilla', 'Atlético Madrid', 'Mallorca']","[1084, 237, 368, 13, 237]","['Spain', 'Spain', 'Spain', 'Spain', 'Spain']",,,0
37,Mirko Slomka,1.13242192690306,"['Schalke', 'Hannover', 'Hamburg']","[33, 42, 41]","['Germany', 'Germany', 'Germany']",,,0
38,Brendan Rodgers,1.12195737720476,"['Swansea', 'Liverpool']","[2288, 31]","['England', 'England']",,,0
39,Christian Streich,1.11378287227168,['Freiburg'],[60],['Germany'],Freiburg,60.0,1
40,Felix Magath,1.10756426963819,"['Bayern Munich', 'Wolfsburg', 'Schalke', 'Wolfsburg', 'Fulham']","[27, 82, 33, 82, 931]","['Germany', 'Germany', 'Germany', 'Germany', 'England']",,,0
