sex,age_bucket,lgbtq,inc_bucket,educ_n,region6,tenure3,poli_int_bucket,ge15_5,ge17_5,pop,pred_deal,pred_no_deal,pred_remain
Male,45-60,straight,15_25,3,South,own,middling,Lab,Lab,3900,12.6,18.5,69
Male,60-75,straight,25_35,3,North,own,high,Oth,Lab,4400,11.4,23.7,64.9
Male,30-44,straight,35_50,4,Midlands,mortgage,middling,DNV,Con,2400,34.3,34.4,31.4
Female,45-60,gay,5_15,3,North,rent,middling,Lab,Lab,3300,18,24.7,57.3
Male,45-60,straight,25_35,3,North,rent,high,DNV,Con,1900,22.7,63,14.3
Male,60-75,straight,15_25,4,South,own,high,Con,Con,2700,24.7,52.7,22.7
Male,45-60,straight,35_50,2,Midlands,mortgage,middling,Con,Con,15400,37.6,47.2,15.1
Male,45-60,straight,35_50,2,North,mortgage,low,Lab,Lab,9700,19,21.1,60
Female,60-75,straight,15_25,4,North,own,low,Con,Con,5100,50.1,32.9,17
Female,45-60,straight,50+,4,London,mortgage,high,Lab,Lab,4500,7,7.1,86
Female,60-75,straight,5_15,3,South,rent,middling,Lab,DNV,1800,26.8,35.8,37.4
Female,60-75,straight,25_35,4,North,own,middling,Con,Con,27700,44.7,33.6,21.7
Male,60-75,straight,35_50,3,South,own,middling,Con,Con,75700,37.1,41.6,21.3
Male,60-75,straight,35_50,3,Midlands,own,low,Con,Con,2800,45.8,38,16.2
Male,60-75,straight,25_35,4,Midlands,own,middling,Lab,Lab,5300,12.6,14.4,73
Male,45-60,straight,15_25,3,Midlands,mortgage,high,DNV,Con,400,24,61.6,14.4
Female,45-60,straight,35_50,3,South,own,middling,UKIP,UKIP,500,27.2,69.4,3.5
Male,30-44,straight,50+,4,South,mortgage,middling,DNV,Lab,8100,9.2,7.9,82.9
Female,60-75,straight,25_35,4,North,own,low,Con,Con,1300,50.8,30.2,19
Male,18-29,straight,50+,3,South,mortgage,high,Con,Con,1700,27.8,27,45.2
Female,18-29,straight,5_15,4,North,rent,low,Lab,Lab,2900,15.1,7.5,77.5
Male,45-60,straight,25_35,3,North,own,middling,Oth,Oth,5500,15.9,16.5,67.6
Female,45-60,straight,5_15,1,South,rent,low,DNV,Lab,1100,30.2,32.6,37.2
Female,30-44,straight,25_35,4,South,mortgage,middling,DNV,Lab,3200,13.4,8.8,77.7
Female,30-44,straight,15_25,4,London,rent,middling,Lab,Lab,4300,11,8.4,80.7
Male,45-60,straight,15_25,2,South,rent,middling,UKIP,Con,5700,17.1,80.7,2.2
Male,60-75,straight,35_50,3,London,own,middling,DNV,Lab,2600,16.7,17.2,66.1
Female,60-75,straight,15_25,3,North,mortgage,middling,Lab,Lab,10200,19.9,18.8,61.3
Female,45-60,straight,5_15,2,North,rent,high,Lab,Lab,3100,15.9,33,51.1
Male,30-44,straight,5_15,4,South,rent,high,DNV,Con,800,21.3,55.1,23.6
Male,30-44,straight,35_50,3,Midlands,rent,middling,Con,Con,3900,37.8,39.1,23.1
Male,60-75,straight,15_25,2,South,own,high,UKIP,Con,6000,13.6,84.1,2.3
Male,60-75,straight,25_35,4,Midlands,own,high,Lab,Lab,9700,9.2,16.9,73.9
